1648366318 total:       25.08 Mb/s In    24.85 Mb/s Out -   2088.0 p/s In    2161.0 p/s Out
    ens4:     0.02 Mb/s In     0.03 Mb/s Out -     24.0 p/s In      34.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     8.24 Mb/s In     0.18 Mb/s Out -    360.0 p/s In     344.0 p/s Out
  s1-eth2:     8.16 Mb/s In     0.18 Mb/s Out -    358.0 p/s In     340.0 p/s Out
  s1-eth3:     8.13 Mb/s In     0.18 Mb/s Out -    356.0 p/s In     336.0 p/s Out
  s1-eth4:     0.18 Mb/s In     8.14 Mb/s Out -    334.0 p/s In     369.0 p/s Out
  s1-eth5:     0.18 Mb/s In     8.08 Mb/s Out -    331.0 p/s In     371.0 p/s Out
  s1-eth6:     0.17 Mb/s In     8.05 Mb/s Out -    325.0 p/s In     367.0 p/s Out
1648366319 total:       30.05 Mb/s In    30.10 Mb/s Out -   2508.0 p/s In    2595.0 p/s Out
    ens4:     0.02 Mb/s In     0.02 Mb/s Out -     20.0 p/s In      20.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.79 Mb/s In     0.22 Mb/s Out -    425.0 p/s In     416.0 p/s Out
  s1-eth2:     9.79 Mb/s In     0.23 Mb/s Out -    424.0 p/s In     419.0 p/s Out
  s1-eth3:     9.81 Mb/s In     0.23 Mb/s Out -    426.0 p/s In     421.0 p/s Out
  s1-eth4:     0.21 Mb/s In     9.80 Mb/s Out -    402.0 p/s In     442.0 p/s Out
  s1-eth5:     0.21 Mb/s In     9.80 Mb/s Out -    404.0 p/s In     436.0 p/s Out
  s1-eth6:     0.22 Mb/s In     9.80 Mb/s Out -    407.0 p/s In     441.0 p/s Out
1648366320 total:       30.03 Mb/s In    30.05 Mb/s Out -   2495.0 p/s In    2516.0 p/s Out
    ens4:     0.02 Mb/s In     0.02 Mb/s Out -     19.0 p/s In      22.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.79 Mb/s In     0.22 Mb/s Out -    422.0 p/s In     402.0 p/s Out
  s1-eth2:     9.79 Mb/s In     0.22 Mb/s Out -    423.0 p/s In     410.0 p/s Out
  s1-eth3:     9.79 Mb/s In     0.22 Mb/s Out -    422.0 p/s In     408.0 p/s Out
  s1-eth4:     0.21 Mb/s In     9.79 Mb/s Out -    397.0 p/s In     425.0 p/s Out
  s1-eth5:     0.21 Mb/s In     9.79 Mb/s Out -    406.0 p/s In     425.0 p/s Out
  s1-eth6:     0.21 Mb/s In     9.79 Mb/s Out -    406.0 p/s In     424.0 p/s Out
1648366321 total:       30.04 Mb/s In    30.03 Mb/s Out -   2509.0 p/s In    2511.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -     16.0 p/s In      17.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.80 Mb/s In     0.22 Mb/s Out -    423.0 p/s In     410.0 p/s Out
  s1-eth2:     9.80 Mb/s In     0.22 Mb/s Out -    423.0 p/s In     409.0 p/s Out
  s1-eth3:     9.78 Mb/s In     0.22 Mb/s Out -    422.0 p/s In     409.0 p/s Out
  s1-eth4:     0.22 Mb/s In     9.79 Mb/s Out -    409.0 p/s In     422.0 p/s Out
  s1-eth5:     0.22 Mb/s In     9.78 Mb/s Out -    409.0 p/s In     422.0 p/s Out
  s1-eth6:     0.21 Mb/s In     9.79 Mb/s Out -    407.0 p/s In     422.0 p/s Out
1648366322 total:       30.04 Mb/s In    31.52 Mb/s Out -   2506.0 p/s In    2938.0 p/s Out
    ens4:     0.02 Mb/s In     1.49 Mb/s Out -     17.0 p/s In     436.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.79 Mb/s In     0.22 Mb/s Out -    422.0 p/s In     409.0 p/s Out
  s1-eth2:     9.79 Mb/s In     0.22 Mb/s Out -    422.0 p/s In     409.0 p/s Out
  s1-eth3:     9.79 Mb/s In     0.22 Mb/s Out -    422.0 p/s In     411.0 p/s Out
  s1-eth4:     0.21 Mb/s In     9.80 Mb/s Out -    407.0 p/s In     424.0 p/s Out
  s1-eth5:     0.21 Mb/s In     9.79 Mb/s Out -    407.0 p/s In     424.0 p/s Out
  s1-eth6:     0.22 Mb/s In     9.78 Mb/s Out -    409.0 p/s In     425.0 p/s Out
1648366323 total:       30.07 Mb/s In    30.06 Mb/s Out -   2509.0 p/s In    2534.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -     14.0 p/s In      16.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.79 Mb/s In     0.22 Mb/s Out -    423.0 p/s In     412.0 p/s Out
  s1-eth2:     9.80 Mb/s In     0.22 Mb/s Out -    424.0 p/s In     413.0 p/s Out
  s1-eth3:     9.82 Mb/s In     0.22 Mb/s Out -    424.0 p/s In     412.0 p/s Out
  s1-eth4:     0.22 Mb/s In     9.80 Mb/s Out -    408.0 p/s In     428.0 p/s Out
  s1-eth5:     0.22 Mb/s In     9.79 Mb/s Out -    408.0 p/s In     427.0 p/s Out
  s1-eth6:     0.22 Mb/s In     9.79 Mb/s Out -    408.0 p/s In     426.0 p/s Out
1648366324 total:       30.03 Mb/s In    30.04 Mb/s Out -   2509.0 p/s In    2507.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     19.0 p/s In      18.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.80 Mb/s In     0.21 Mb/s Out -    423.0 p/s In     407.0 p/s Out
