1648366361 total:       24.84 Mb/s In    24.53 Mb/s Out -   2121.0 p/s In    2187.0 p/s Out
    ens4:     0.06 Mb/s In     0.04 Mb/s Out -     29.0 p/s In      32.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     8.14 Mb/s In     0.18 Mb/s Out -    367.0 p/s In     341.0 p/s Out
  s1-eth2:     8.05 Mb/s In     0.19 Mb/s Out -    356.0 p/s In     350.0 p/s Out
  s1-eth3:     8.05 Mb/s In     0.19 Mb/s Out -    358.0 p/s In     348.0 p/s Out
  s1-eth4:     0.18 Mb/s In     8.05 Mb/s Out -    333.0 p/s In     379.0 p/s Out
  s1-eth5:     0.18 Mb/s In     7.94 Mb/s Out -    340.0 p/s In     366.0 p/s Out
  s1-eth6:     0.18 Mb/s In     7.95 Mb/s Out -    338.0 p/s In     371.0 p/s Out
1648366362 total:       30.05 Mb/s In    30.08 Mb/s Out -   2488.0 p/s In    2560.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -     15.0 p/s In      14.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.79 Mb/s In     0.22 Mb/s Out -    423.0 p/s In     410.0 p/s Out
  s1-eth2:     9.81 Mb/s In     0.22 Mb/s Out -    426.0 p/s In     413.0 p/s Out
  s1-eth3:     9.80 Mb/s In     0.23 Mb/s Out -    425.0 p/s In     417.0 p/s Out
  s1-eth4:     0.21 Mb/s In     9.79 Mb/s Out -    394.0 p/s In     434.0 p/s Out
  s1-eth5:     0.21 Mb/s In     9.81 Mb/s Out -    402.0 p/s In     439.0 p/s Out
  s1-eth6:     0.21 Mb/s In     9.80 Mb/s Out -    403.0 p/s In     433.0 p/s Out
1648366363 total:       29.95 Mb/s In    30.67 Mb/s Out -   2474.0 p/s In    2691.0 p/s Out
    ens4:     0.01 Mb/s In     0.70 Mb/s Out -     18.0 p/s In     217.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.77 Mb/s In     0.21 Mb/s Out -    421.0 p/s In     394.0 p/s Out
  s1-eth2:     9.77 Mb/s In     0.22 Mb/s Out -    421.0 p/s In     405.0 p/s Out
  s1-eth3:     9.77 Mb/s In     0.21 Mb/s Out -    422.0 p/s In     402.0 p/s Out
  s1-eth4:     0.21 Mb/s In     9.77 Mb/s Out -    391.0 p/s In     424.0 p/s Out
  s1-eth5:     0.21 Mb/s In     9.78 Mb/s Out -    400.0 p/s In     425.0 p/s Out
  s1-eth6:     0.21 Mb/s In     9.78 Mb/s Out -    401.0 p/s In     424.0 p/s Out
1648366364 total:       30.03 Mb/s In    30.03 Mb/s Out -   2486.0 p/s In    2492.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     14.0 p/s In      19.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.80 Mb/s In     0.21 Mb/s Out -    423.0 p/s In     400.0 p/s Out
  s1-eth2:     9.79 Mb/s In     0.21 Mb/s Out -    422.0 p/s In     403.0 p/s Out
  s1-eth3:     9.79 Mb/s In     0.21 Mb/s Out -    422.0 p/s In     404.0 p/s Out
