1648366664 total:        0.02 Mb/s In     0.08 Mb/s Out -     36.0 p/s In     116.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -     15.0 p/s In      18.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.00 Mb/s In     0.01 Mb/s Out -      4.0 p/s In      15.0 p/s Out
  s1-eth2:     0.00 Mb/s In     0.01 Mb/s Out -      4.0 p/s In      16.0 p/s Out
  s1-eth3:     0.00 Mb/s In     0.01 Mb/s Out -      4.0 p/s In      18.0 p/s Out
  s1-eth4:     0.00 Mb/s In     0.01 Mb/s Out -      3.0 p/s In      17.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.01 Mb/s Out -      3.0 p/s In      16.0 p/s Out
  s1-eth6:     0.00 Mb/s In     0.01 Mb/s Out -      3.0 p/s In      16.0 p/s Out
1648366665 total:        3.48 Mb/s In     4.50 Mb/s Out -    354.0 p/s In     740.0 p/s Out
    ens4:     0.05 Mb/s In     1.27 Mb/s Out -     21.0 p/s In     380.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.00 Mb/s In     0.01 Mb/s Out -      1.0 p/s In      13.0 p/s Out
  s1-eth2:     0.00 Mb/s In     0.01 Mb/s Out -      1.0 p/s In      11.0 p/s Out
  s1-eth3:     3.33 Mb/s In     0.10 Mb/s Out -    178.0 p/s In     141.0 p/s Out
  s1-eth4:     0.00 Mb/s In     0.01 Mb/s Out -      2.0 p/s In       9.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.01 Mb/s Out -      1.0 p/s In      10.0 p/s Out
  s1-eth6:     0.10 Mb/s In     3.10 Mb/s Out -    150.0 p/s In     176.0 p/s Out
1648366666 total:        0.53 Mb/s In     0.45 Mb/s Out -    107.0 p/s In     123.0 p/s Out
    ens4:     0.12 Mb/s In     0.06 Mb/s Out -     45.0 p/s In      52.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       2.0 p/s Out
  s1-eth2:     0.00 Mb/s In     0.00 Mb/s Out -      2.0 p/s In       3.0 p/s Out
  s1-eth3:     0.39 Mb/s In     0.02 Mb/s Out -     32.0 p/s In      26.0 p/s Out
  s1-eth4:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       3.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.00 Mb/s Out -      2.0 p/s In       4.0 p/s Out
  s1-eth6:     0.01 Mb/s In     0.37 Mb/s Out -     26.0 p/s In      33.0 p/s Out
1648366667 total:        0.15 Mb/s In     0.13 Mb/s Out -     38.0 p/s In      35.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     17.0 p/s In      17.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.00 Mb/s In     0.00 Mb/s Out -      1.0 p/s In       1.0 p/s Out
  s1-eth2:     0.00 Mb/s In     0.00 Mb/s Out -      1.0 p/s In       1.0 p/s Out
  s1-eth3:     0.13 Mb/s In     0.00 Mb/s Out -     10.0 p/s In       6.0 p/s Out
  s1-eth4:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.00 Mb/s Out -      1.0 p/s In       1.0 p/s Out
  s1-eth6:     0.00 Mb/s In     0.11 Mb/s Out -      8.0 p/s In       9.0 p/s Out
1648366668 total:        1.23 Mb/s In     1.05 Mb/s Out -    146.0 p/s In     147.0 p/s Out
    ens4:     0.05 Mb/s In     0.03 Mb/s Out -     24.0 p/s In      26.0 p/s Out
