1648366748 total:        0.02 Mb/s In     0.07 Mb/s Out -     28.0 p/s In      81.0 p/s Out
    ens4:     0.02 Mb/s In     0.02 Mb/s Out -     19.0 p/s In      21.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.00 Mb/s In     0.00 Mb/s Out -      2.0 p/s In       6.0 p/s Out
  s1-eth2:     0.00 Mb/s In     0.01 Mb/s Out -      1.0 p/s In       9.0 p/s Out
  s1-eth3:     0.00 Mb/s In     0.01 Mb/s Out -      2.0 p/s In       9.0 p/s Out
  s1-eth4:     0.00 Mb/s In     0.01 Mb/s Out -      3.0 p/s In      11.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.01 Mb/s Out -      1.0 p/s In      12.0 p/s Out
  s1-eth6:     0.00 Mb/s In     0.01 Mb/s Out -      0.0 p/s In      13.0 p/s Out
1648366749 total:        0.01 Mb/s In     0.08 Mb/s Out -     20.0 p/s In     100.0 p/s Out
    ens4:     0.00 Mb/s In     0.01 Mb/s Out -      6.0 p/s In       7.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.00 Mb/s In     0.01 Mb/s Out -      2.0 p/s In      16.0 p/s Out
  s1-eth2:     0.00 Mb/s In     0.01 Mb/s Out -      2.0 p/s In      14.0 p/s Out
  s1-eth3:     0.00 Mb/s In     0.01 Mb/s Out -      3.0 p/s In      17.0 p/s Out
  s1-eth4:     0.00 Mb/s In     0.01 Mb/s Out -      1.0 p/s In      16.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.01 Mb/s Out -      3.0 p/s In      14.0 p/s Out
  s1-eth6:     0.00 Mb/s In     0.01 Mb/s Out -      3.0 p/s In      16.0 p/s Out
1648366750 total:        0.13 Mb/s In     0.51 Mb/s Out -     49.0 p/s In     194.0 p/s Out
    ens4:     0.13 Mb/s In     0.49 Mb/s Out -     48.0 p/s In     177.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       4.0 p/s Out
  s1-eth2:     0.00 Mb/s In     0.00 Mb/s Out -      1.0 p/s In       3.0 p/s Out
  s1-eth3:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       4.0 p/s Out
  s1-eth4:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       2.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       2.0 p/s Out
  s1-eth6:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       2.0 p/s Out
1648366751 total:        0.01 Mb/s In     0.02 Mb/s Out -     18.0 p/s In      27.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     18.0 p/s In      24.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       1.0 p/s Out
  s1-eth2:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       1.0 p/s Out
  s1-eth3:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       1.0 p/s Out
  s1-eth4:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth6:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
1648366752 total:        0.01 Mb/s In     0.02 Mb/s Out -     10.0 p/s In      22.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -      8.0 p/s In       9.0 p/s Out
