1648366971 total:        8.77 Mb/s In     8.59 Mb/s Out -    910.0 p/s In     978.0 p/s Out
    ens4:     0.02 Mb/s In     0.03 Mb/s Out -     24.0 p/s In      30.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.00 Mb/s In     0.01 Mb/s Out -      2.0 p/s In      16.0 p/s Out
  s1-eth2:     5.85 Mb/s In     0.20 Mb/s Out -    328.0 p/s In     313.0 p/s Out
  s1-eth3:     2.64 Mb/s In     0.07 Mb/s Out -    127.0 p/s In     131.0 p/s Out
  s1-eth4:     0.00 Mb/s In     0.01 Mb/s Out -      4.0 p/s In      18.0 p/s Out
  s1-eth5:     0.19 Mb/s In     5.70 Mb/s Out -    308.0 p/s In     333.0 p/s Out
  s1-eth6:     0.07 Mb/s In     2.56 Mb/s Out -    117.0 p/s In     137.0 p/s Out
1648366972 total:        5.46 Mb/s In     5.34 Mb/s Out -    559.0 p/s In     621.0 p/s Out
    ens4:     0.13 Mb/s In     0.06 Mb/s Out -     54.0 p/s In      55.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     1.72 Mb/s In     0.05 Mb/s Out -     88.0 p/s In      83.0 p/s Out
  s1-eth2:     1.78 Mb/s In     0.06 Mb/s Out -     93.0 p/s In      94.0 p/s Out
  s1-eth3:     1.71 Mb/s In     0.05 Mb/s Out -     85.0 p/s In      88.0 p/s Out
  s1-eth4:     0.04 Mb/s In     1.69 Mb/s Out -     73.0 p/s In      98.0 p/s Out
  s1-eth5:     0.05 Mb/s In     1.74 Mb/s Out -     87.0 p/s In     105.0 p/s Out
  s1-eth6:     0.04 Mb/s In     1.68 Mb/s Out -     79.0 p/s In      98.0 p/s Out
1648366973 total:        2.72 Mb/s In     2.55 Mb/s Out -    311.0 p/s In     307.0 p/s Out
    ens4:     0.02 Mb/s In     0.02 Mb/s Out -     23.0 p/s In      27.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     1.37 Mb/s In     0.03 Mb/s Out -     69.0 p/s In      53.0 p/s Out
  s1-eth2:     0.82 Mb/s In     0.03 Mb/s Out -     58.0 p/s In      53.0 p/s Out
  s1-eth3:     0.44 Mb/s In     0.01 Mb/s Out -     30.0 p/s In      25.0 p/s Out
  s1-eth4:     0.03 Mb/s In     1.29 Mb/s Out -     53.0 p/s In      66.0 p/s Out
  s1-eth5:     0.03 Mb/s In     0.77 Mb/s Out -     53.0 p/s In      56.0 p/s Out
  s1-eth6:     0.01 Mb/s In     0.40 Mb/s Out -     25.0 p/s In      27.0 p/s Out
1648366974 total:        4.04 Mb/s In     3.93 Mb/s Out -    403.0 p/s In     397.0 p/s Out
    ens4:     0.08 Mb/s In     0.05 Mb/s Out -     37.0 p/s In      37.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     1.27 Mb/s In     0.03 Mb/s Out -     60.0 p/s In      47.0 p/s Out
  s1-eth2:     1.14 Mb/s In     0.04 Mb/s Out -     66.0 p/s In      64.0 p/s Out
