1648367086 total:        0.02 Mb/s In     0.08 Mb/s Out -     32.0 p/s In     111.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     17.0 p/s In      20.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.00 Mb/s In     0.01 Mb/s Out -      3.0 p/s In      18.0 p/s Out
  s1-eth2:     0.00 Mb/s In     0.01 Mb/s Out -      3.0 p/s In      13.0 p/s Out
  s1-eth3:     0.00 Mb/s In     0.01 Mb/s Out -      1.0 p/s In      18.0 p/s Out
  s1-eth4:     0.00 Mb/s In     0.01 Mb/s Out -      3.0 p/s In      15.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.01 Mb/s Out -      3.0 p/s In      13.0 p/s Out
  s1-eth6:     0.00 Mb/s In     0.01 Mb/s Out -      2.0 p/s In      14.0 p/s Out
1648367087 total:        0.02 Mb/s In     1.18 Mb/s Out -     23.0 p/s In     399.0 p/s Out
    ens4:     0.02 Mb/s In     1.11 Mb/s Out -     16.0 p/s In     330.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.00 Mb/s In     0.01 Mb/s Out -      1.0 p/s In       8.0 p/s Out
  s1-eth2:     0.00 Mb/s In     0.01 Mb/s Out -      0.0 p/s In      15.0 p/s Out
  s1-eth3:     0.00 Mb/s In     0.01 Mb/s Out -      2.0 p/s In      11.0 p/s Out
  s1-eth4:     0.00 Mb/s In     0.01 Mb/s Out -      1.0 p/s In      11.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.01 Mb/s Out -      0.0 p/s In      13.0 p/s Out
  s1-eth6:     0.00 Mb/s In     0.01 Mb/s Out -      3.0 p/s In      11.0 p/s Out
1648367088 total:        0.01 Mb/s In     0.02 Mb/s Out -     11.0 p/s In      25.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -     10.0 p/s In      14.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
